id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Blues,Blue Maverick,blues,moody,0.46,76,0.35,0.52,0.91
12,Desert Wind,Country Roads,country,relaxed,0.51,98,0.74,0.58,0.88
13,Grime City,Urban Warriors,grime,intense,0.84,130,0.38,0.79,0.12
14,Disco Fever,Vinyl Legends,disco,happy,0.89,124,0.91,0.94,0.08
15,Orchestral Swell,Symphony Hall,orchestral,focused,0.53,102,0.72,0.48,0.95
16,Breakbeat Bounce,Rhythm Masters,breakbeat,intense,0.87,145,0.61,0.86,0.04
17,Summer Vibes,Reggae Sunset,reggae,happy,0.64,95,0.82,0.79,0.72
